record_id,Name,SIN,StreetNumber,Street,City,Province,PostalCode,DOB,PhoneNum
rec-2019-id,Cassidy Mcguire,778 306 225,38580,Margaret Corners,New Jacobport,Northwest Territories,81493,1978-02-20,380-955-0858 x360
rec-2019-id-dup-0,Cassidy Mcguire,778 306 225,38580,Margaret Co rners,New Jacobport,Northwest Territories,81493,1978-02-20,380-955-0858 x360
rec-2019-id-dup-1,Cassidy Mcguire,778 306 225,38580,Mitchell Key,New Jacobport,Northwest Territories,81493,1978-02-20,380-955-0858 x360
rec-2019-id-dup-2,Cassidy Mcguire,778 306 225,38580,Margare t Corners,New Jacobport,Northwest Territories,81493,1978-02-20,380-955-0858 x360
rec-2020-id,Natalie Malone,581 304 227,18441,Christopher Mountains,Lake Josephfort,New Brunswick,25498,1984-05-25,(919) 508-9170
rec-2020-id-dup-0,Natalie Malone,581 304 227,18441,Collins Extensions,Lake Josephfort,New Brunswick,25498,1984-05-25,(919) 508-9170
rec-2020-id-dup-1,Natalie Malone,581 304 227,18441,David Port,Lake Josephfort,New Brunswick,25498,1984-05-25,(919) 508-9170
rec-2020-id-dup-2,Natalie Malone,581 304 227,18441,Christopher Mountains,Lake Josephfort,New Brunswick,25498,1984-05-25,(919) 508-9170
rec-2020-id-dup-3,Natalie Malone,581 304 227,18441,Johnson Brook,Lake Josephfort,New Brunswick,25498,1984-05-25,(919) 508-9170
rec-2020-id-dup-4,Natalie Malone,581 304 227,18441,Christopher M ountains,Lake Josephfort,New Brunswick,25498,1984-05-25,(919) 508-9170
rec-2021-id,Bailey Ramirez,176 146 884,583,Smith Glen,North Christopher,Nova Scotia,53637,1996-04-17,+1 (936) 947-9671
rec-2021-id-dup-0,Bailey Ramirez,176 146 884,583,Smith Glen,North Christopher,Nova Scotia,53637,1996-04-17,+1 (936) 947-9671
rec-2021-id-dup-1,Bailey Ramirez,176 146 884,583,Conley Port,North Christopher,Nova Scotia,53637,1996-04-17,+1 (936) 947-9671
rec-2021-id-dup-2,Bailey Ramirez,176 146 884,583,Smith G len,North Christopher,Nova Scotia,53637,1996-04-17,+1 (936) 947-9671
rec-2022-id,Daniel Ellis,740 316 278,5426,Scott Path,Juanfurt,Saskatchewan,71748,1993-02-26,(926) 972-6062
rec-2022-id-dup-0,Daniel Ellis,740 316 278,5426,Scott Path,Juanfurt,Saskatchewan,71748,1993-02-26,(926) 972-6062
rec-2022-id-dup-1,Daniel Ellis,740 316 278,5426,Malone Courts,Juanfurt,Saskatchewan,71748,1993-02-26,(926) 972-6062
rec-2022-id-dup-2,Daniel Ellis,740 316 278,5426,Scott Path,Juanfurt,Saskatchewan,71748,1993-02-26,(926) 972-6062
rec-2023-id,April Fox,627 154 164,565,Wright Roads,Fletcherchester,Manitoba,84557,1984-02-21,789-413-0272 x331
rec-2023-id-dup-0,April Fox,627 154 164,565,Julie Summit,Fletcherchester,Manitoba,84557,1984-02-21,789-413-0272 x331
rec-2023-id-dup-1,April Fox,627 154 164,565,Wright R oads,Fletcherchester,Manitoba,84557,1984-02-21,789-413-0272 x331
rec-2024-id,Dylan Heath,073 574 238,979,Trevor Pines,South Ericmouth,Nova Scotia,97685,1990-01-20,207 478 8287
rec-2024-id-dup-0,Dylan Heath,073 574 238,979,Pines Trevor,South Ericmouth,Nova Scotia,97685,1990-01-20,207 478 8287
